,latitude,longitude,bc,co,no2,o3,pm10,pm25,so2
480,40.064846,-74.444061,,,,0.024,,,
481,41.663405,-83.47596,,,,,,,0.0
482,-32.929552,-71.440571,,,17.12,41.76,,,21.06
483,42.1978,-86.3097,,,,0.006,,,
484,38.848,-104.8286,,,,,,4.5,
485,38.830895,-104.839243,,0.4,,,,,
486,38.9583,-104.8167,,,,0.036,,,
487,40.924606,-75.067825,,,0.009,0.013,,6.1,0.0
488,48.363694,-114.189272,,,,,0.0,-0.7,
489,43.3144,-89.1089,,,,0.013,,,
490,32.5214,-84.9436,,,,0.001,,14.4,
491,40.002734,-82.994404,,,,,,4.8,0.0
492,39.96523,-82.95549,,,0.006,0.022,,,
493,40.087807,-82.959585,,,,0.025,,,
494,40.11109,-83.065376,,0.3,0.017,,,,
495,39.237457,-85.891332,,,,,,4.1,
496,39.2031,-122.0169,,,,0.025,13.0,2.0,
497,48.54469,-117.903222,,,,,17.0,9.6,
498,33.2192,-111.5608,,,,,67.0,,
499,-22.460270722943,-68.937706917007,,,,,58.129999999999995,3.93,
500,33.9014,-118.205,,,,0.008,,,
501,-32.924568,-71.515399,,490.07,23.84,62.93,,,19.99
502,43.218601,-71.515297,,0.33,0.008,0.019,,5.0,0.002
503,33.7206,-84.3578,,,,0.0,,16.7,0.0
504,33.814701,-80.781097,,,,0.0,,,0.0
505,41.959695,-80.572808,,,,0.011,,,0.0
506,42.4006,-76.6538,,,,0.027,,,
507,30.3503,-95.425,,,,0.0,,18.8,
508,30.3503017,-95.4251278,,,0.002,0.062,,,
509,-36.723695141848,-73.123658865174,,,,,27.8,,
510,29.995,-90.8172,,,,0.0,,,
511,43.1,-105.5,,,0.0,0.032,3.0,,
512,33.5856,-84.0667,,,,0.0,,,
513,41.669001,-83.28717,,,,0.027,,,
514,38.89094,-121.00337,,,,0.029,,,
515,36.908115,-95.88235,,,,0.016,,9.9,
516,-27.370329154948,-70.323906678352,,,,,21.39,289.33,
517,-29.970390235273,-71.336038250122,,,,,,6.61,
518,49.28806,-122.79139,,,,0.005,,,
519,38.20087,-77.37742,,,,0.021,,,
